STE_NAME16	Year	persons
New South Wales	2006	6549174
New South Wales	2011	6917656
New South Wales	2016	7480228
Victoria	2006	4932422
Victoria	2011	5354039
Victoria	2016	5926624
Queensland	2006	3904531
Queensland	2011	4332737
Queensland	2016	4703193
South Australia	2006	1514340
South Australia	2011	1596569
South Australia	2016	1676653
Western Australia	2006	1959087
Western Australia	2011	2239171
Western Australia	2016	2474410
Tasmania	2006	476481
Tasmania	2011	495351
Tasmania	2016	509965
Northern Territory	2006	192899
Northern Territory	2011	211943
Northern Territory	2016	228833
Australian Capital Territory	2006	324034
Australian Capital Territory	2011	357218
Australian Capital Territory	2016	397397
Other Territories	2006	2320
Other Territories	2011	3029
Other Territories	2016	4587
