STE_NAME16	Year	unemployment
New South Wales	2006	5.9
New South Wales	2011	5.9
New South Wales	2016	6.3
Victoria	2006	5.4
Victoria	2011	5.4
Victoria	2016	6.6
Queensland	2006	4.7
Queensland	2011	6.1
Queensland	2016	7.6
South Australia	2006	5.2
South Australia	2011	5.7
South Australia	2016	7.5
Western Australia	2006	3.8
Western Australia	2011	4.7
Western Australia	2016	7.8
Tasmania	2006	6.6
Tasmania	2011	6.4
Tasmania	2016	7
Northern Territory	2006	4.4
Northern Territory	2011	5.3
Northern Territory	2016	7
Australian Capital Territory	2006	3.4
Australian Capital Territory	2011	3.6
Australian Capital Territory	2016	4.7
Other Territories	2006	6
Other Territories	2011	4.1
Other Territories	2016	2.6
